"liver_S7"	"brain_S7"	"muscle_S7"	"heart_S7"	"kidney_S7"	"lung_S7"	"liver_S12"	"brain_S12"	"muscle_S12"	"heart_S12"	"kidney_S12"	"lung_S12"	"liver_S13"	"brain_S13"	"muscle_S13"	"heart_S13"	"kidney_S13"	"lung_S13"
"LOC100128338"	3.52	0.01	0	3	6.56	22.3	6.61	7.96	1	0	14.52	1.24	3	7.49	2.48	3.8	9.9	16.71
"LOC100128361"	11	32	14	23	11	50	3	29	11	24	20	25	7	73	26	38	27	15
"LOC100128398"	9	45	2	17	22	16	14	104	3	8	102	19	19	201	2	14	25	20
"LOC100128505"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100128531"	12	15	56	0	5	4	8	14	25	0	2	9	5	2	270	0	4	1
"LOC100128554"	0	21	0	0	0	0	0	54	0	0	0	1	0	3	0	0	0	2
"LOC100128568"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"LOC100128573"	0	0	0	1	1	2	0	1	0	0	1	0	0	0	0	0	0	0
"LOC100128593"	0	2	1	4	0	0	0	0	0	1	2	6	0	0	0	4	0	1
"LOC100128682"	0	0	0	5	0	0	1	0	0	2	0	0	0	0	0	15	0	0
"LOC100128714"	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
"LOC100128750"	1	0	0	12	35	26	8	0	0	5	27	37	9	0	1	10	29	54
"LOC100128770"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
"LOC100128787"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
"LOC100128822"	38	140	104	45	48	115	42	136	102	19	117	45	49	481	102	34	82	86
"LOC100128881"	9	1	0	0	6	2	4	1	0	0	1	6	0	5	0	1	8	5
"LOC100128885"	0	12	0	1	3	0	0	25	0	0	3	0	0	1	0	1	0	0
"LOC100128893"	23	0	0	71	2	17	60	0	0	29	1	56	40	0	0	56	0	61
"LOC100128946"	0	45	0	0	0	0	30	105	0	0	0	0	0	41	8	0	0	3
"LOC100128993"	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2
"LOC100129027"	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0	0
"LOC100129034"	2254	921	211	397	1624	3743	2642	1811	354	515	287	1651	2049	1009	380	474	1938	3791
"LOC100129046"	76	0	7	0	59	13	76	0	3	0	30	1	38	0	0	0	32	8
"LOC100129055"	0	5	0	0	0	0	0	4	0	2	2	0	0	6	1	0	0	0
"LOC100129083"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
"LOC100129138"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"LOC100129148"	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0
"LOC100129175"	13	0	0	0	0	5	4	0	0	0	0	1	7	0	0	0	0	1
"LOC100129195"	104	90	222	150	167	88	46	126	110	27	196	57	58	146	223	41	142	64
"LOC100129213"	0	0	0	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0
"LOC100129216"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100129269"	0	4	1	3	2	6	4	3	0	3	2	8	0	0	0	3	0	4
"LOC100129316"	3	5	3	7	15	12	0	13	5	0	12	7	17	34	8	4	11	11
"LOC100129345"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100129361"	520	945	684	544	531	460	499	1128	798	227	431	302	400	611	878	341	630	399
"LOC100129427"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100129518"	15	13	0	1	19	8	17	26	1	1	7	1	9	34	3	5	10	23
"LOC100129520"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"LOC100129534"	5	18	9	15	56	62	31	121	24	9	82	18	17	237	3	9	74	32
"LOC100129550"	69	450	700	416	264	413	93	770	783	149	419	198	262	638	1007	312	425	476
"LOC100129617"	1	13	0	2	16	35	37	71	0	13	18	87	14	27	0	11	21	35
"LOC100129620"	0	18	0	0	0	0	0	25	0	0	0	2	0	8	0	0	0	0
"LOC100129636"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100129722"	13	6	0	0	52	2	50	7	0	1	7	1	8	5	0	0	43	13
"LOC100129726"	7	2	4	8	13	8	36	6	4	7	26	15	21	0	1	8	31	26
"LOC100129858"	5	10	0	1	5	14	0	26	0	0	6	8	3	16	0	8	2	4
"LOC100129917"	71	73	24	29	121	181	220	175	46	63	154	183	50	367	10	75	166	174
"LOC100129924"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"LOC100129931"	0	0	1	0	0	0	1	4	0	0	4	0	0	2	0	0	1	0
"LOC100129935"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
"LOC100129961"	6	174	56	31	30	43	0	250	18	21	64	25	3	762	38	25	33	42
"LOC100129973"	2	82	2	1	13	2	0	50	0	2	5	0	6	69	1	3	14	12
"LOC100130000"	0	0	0	0	3	10	0	2.2	0	1	2.78	0	2	1.15	0	1	0	0
"LOC100130015"	88	17	0	2	59	2	112	11	7	1	11	8	113	15	4	1	56	8
"LOC100130075"	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0
"LOC100130093"	464	210	33	100	314	104	856	404.49	23	107	496	49	357	532	29	173	271	131
"LOC100130155"	0	440.19	0	0	0	0	0	842.06	0	0	0	0	0	768	0	0	0	1
"LOC100130238"	0	18	0	0	64	0	9	59	0	0	415	0	0	936	0	0	83	2
"LOC100130264"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100130275"	0	0	0	0	1	2	0	1	0	0	23	3	0	6	0	3	4	0
"LOC100130298"	0	0	0	0	0	1	0	2	0	0	0	1	0	97	0	0	0	5
"LOC100130301"	0	0	4	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0
"LOC100130331"	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
"LOC100130348"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
"LOC100130354"	2	4	1	2.03	0	0	0	17.31	3.19	0	0	0	0	1	2	1	0	0
"LOC100130357"	0	1	0	9	18	4	2	16	9	5	32	16	1	40	2	12	28	9
"LOC100130370"	0	9	0	0	0	0	0	6	0	0	0	0	0	8	0	0	0	0
"LOC100130417"	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
"LOC100130451"	0	4	0	0	2	1	4	6	0	1	1	0	6	8	0	0	0	1
"LOC100130452"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100130476"	1	1	7	2	0	18	4	0	1	2	1	20	10	1	3	0	0	12
"LOC100130480"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100130539"	0	0	0	1	0	1	0	10	0	0	0	0	2	8	3	3	0	0
"LOC100130557"	38	63	53	42	78	57	168	97	29	18	157	45	69	286	23	55	118	54
"LOC100130673"	0	5	0	0	0	0	0	11	0	0	0	3	0	12	0	2	0	3
"LOC100130691"	11	16.07	3	16.74	188.16	44.89	7	32.71	9	6	17.91	31.23	9.86	32.12	22	12	108.52	26.29
"LOC100130700"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100130705"	0	140	10	2	5	9	2	364	26	30	31	9	0	93	6	8	17	14
"LOC100130744"	104	33	26	59	140	128	289	90	45	64	93	140	89	99	53	75	137	104
"LOC100130849"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100130872"	356.62	0	9	18.72	36	82	425.94	44.48	6	7	5	53.78	198.93	17	8	3	37.56	46.31
"LOC100130880"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100130899"	1	2	5	50	301	50	5	15	1	11	403	0	26	7	1	29	448	25
"LOC100130950"	11	55	15	10	54	29	16	113	10	8	53	25	18	82	11	20	54	29
"LOC100130954"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100130964"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100130987"	1	38	2	5	19	47	1	69	3	8	20	8	3	23	4	4	30	17
"LOC100130992"	10	359	55	159	88	251	10	299	50	63	120	124	46	307	146	142	115	170
"LOC100131047"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100131060"	0	29	1	2	11	3	2	23	8	1	31	0	0	29	1	0	9	5
"LOC100131067"	65	32	6	3	56	95	98	89	18	24	117	57	108	229	22	34	176	34
"LOC100131094"	0	0	0	2	0	0	0	0	0	0	0	0	2	7	0	0	0	2
"LOC100131138"	0	0	1383	39	0	0	0	0	375	1	0	0	0	0	296	4	0	0
"LOC100131257"	0	0	2	0	3	0	3.02	1	1	2	0	14	1	0	0	6	0	0
"LOC100131289"	0	7	0	0	0	5	0	18	0	0	1	0	0	29	0	3	5	2
"LOC100131320"	0	65	0	2	0	7	0	56	5	2	1	3	0	17	8	13	1	3
"LOC100131347"	0	1	0	0	4	1	0	5	0	0	1	0	2	0	0	0	3	12
"LOC100131496"	1	1	0	2	1	13	4	1	0	0	9	4	6	1	0	0	2	6
"LOC100131564"	47	68	14	92	206	324	181	236	23	58	306	394	122	228	27	134	304	245
"LOC100131626"	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	4	0
"LOC100131635"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100131655"	10	2	11	3	1	19	7	6	15	2	4	5	6	6	7	6	5	16
"LOC100131691"	15	15	3	12	18	27	3	23	17	4	40	8	8	24	4	16	9	17
"LOC100131825"	0	1	10	7	2	12	0	9	3	16	0	87	0	7	8	13	4	16
"LOC100132062"	12.35	6.32	0.8	0	10.65	0	97.7	60.95	0	0	12	5.81	21.27	12.44	0	1.03	2.96	53.67
"LOC100132077"	12	68	3	44	42	81	27	142	20	25	21	82	30	58	17	45	53	50
"LOC100132078"	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	3	1
"LOC100132111"	15	30	1	0	13	12	19	103	0	5	42	1	15	12	5	2	19	16
"LOC100132146"	0	5	0	0	2	0	0	0	0	0	4	1	2	0	0	0	3	0
"LOC100132167"	10	201	15	48	44	67	3	316.99	21	20	69	28	15	190	29	27	28	41
"LOC100132215"	0	9	0	0	0	6	0	19	0	0	0	0	0	0	0	0	0	1
"LOC100132247"	285.67	325.28	125.78	287.28	725.35	741.4	1209.64	1778.84	417.48	537.86	697.18	3879.36	489.06	602.06	198.16	694.34	961.92	618.85
"LOC100132352"	65	154.52	25.01	63.79	149.41	197.77	48.1	275.16	28	43.32	176.47	145.05	66.47	301.25	73.26	66.57	180	152.35
"LOC100132354"	9	9	1	0	1	0	2	24	0	0	0	2	0	0	0	0	4	0
"LOC100132356"	5	4	4	9	18	17	12	14	4	6	28	29	6	45	2	10	19	19
"LOC100132707"	106	38	34	47	174	217	99	51	26	28	157	168	120	61	39	65	146	197
"LOC100132735"	0	0	0	0	14	2	0	0	0	0	1	0	1	0	0	0	23	6
"LOC100132781"	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
"LOC100132831"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100132832"	36.56	53.97	16.67	46.51	110.37	131.77	115.79	234.81	33.01	69.14	96.03	168.2	88.34	89.4	33.91	74.1	134.7	112.2
"LOC100132891"	22	201	39	147	80	110	20	270	45	219	12	153	130	14	51	212	103	50
"LOC100133050"	1	4	2	2	3	0	2	5	2	0	7	4	2	3	0	2	11	0
"LOC100133091"	20.56	76.73	23	14	53.48	129.22	108	185.96	36.39	41.42	92.73	177.16	71.67	219.68	42	67.98	122.71	152.17
"LOC100133123"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100133161"	16.25	21	6.07	10.02	30.18	35.84	26.72	31.27	12.55	11.7	17.06	29.07	7.51	25.64	3.91	11.76	17.75	51.26
"LOC100133286"	1	0	2	0	0	6	0	1	0	0	14	0	1	8	0	0	4	0
"LOC100133315"	10	16	26	12	34	18	34	27	12	3	57	35	26	35	14	14	32	29
"LOC100133331"	179.78	115.5	28.72	96.18	339.21	316.08	338.05	305.78	76.28	72.12	274.15	469.8	132.65	222.21	44.29	142.85	225.38	283.14
"LOC100133445"	11	3	0	3	49	81	45	3	0	4	23	102	25	0	0	3	33	83
"LOC100133461"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100133612"	6	1	7	4	27	0	2	3	15	0	1	6	2	1	4	3	20	7
"LOC100133669"	26	56	0	2	8	8	8	109	2	0	4	14	7	16	2	8	6	2
"LOC100133920"	0	1	0	50.74	3.16	1	7	6.31	1	8.46	2	13.51	0	0	2.35	39.33	8.35	0
"LOC100133957"	20	0	0	5	7	9	5	1	1	0	9	9	7	5	0	2	2	2
"LOC100133985"	5	0	4	1	2	1	6	3	1	0	3	0	0	1	3	1	5	0
"LOC100134229"	62	113	59	167	94	81	60	97	99	58	190	36	57	118	109	96	66	61
"LOC100134259"	9	10	32	2	8	6	0	27	8	2	7	9	1	5	8	11	2	7
"LOC100134317"	0	1.93	1	1.4	3.08	5.32	0	5.43	1	0	1.17	0	0	10.27	4	2.71	0	0
"LOC100134368"	0	0	0	0	11	8	5	4	2	0	14	2	9	5	1	3	12	2
"LOC100134868"	23	15	1	15	36	67	12	43	6	21	27	21	29	108	7	26	53	50
"LOC100144595"	0	2	0	0	5	0	0	1	0	0	8	0	0	0	0	0	12	0
"LOC100144597"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100144602"	0	9	1	2	0	0	0	20	0	0	0	0	0	6	0	0	0	0
"LOC100169752"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100188947"	0	0	7	0	1	0	1	5	5	0	1	1	1	4	92	0	3	1
"LOC100190940"	10	5	0	0	0	0	21	22	0	0	0	0	0	73	2	0	0	0
"LOC100190986"	168.08	334.66	49.34	274.72	363.07	691.13	849.71	1564.4	303.75	428.19	594.15	859.98	566.55	651.39	113.69	595.55	589.33	615.4
"LOC100192426"	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	2
"LOC100216479"	5	276.56	16	23.4	76.26	15.99	28	644.67	6.31	41.14	150.06	84.46	24	246.07	13	24.83	100.4	15.81
"LOC100216545"	108	71	155	79	181	256	245	203	106	116	298	191	181	517	105	174	217	192
"LOC100216546"	108	124	25	282	281	404	344	448	154	222	479	154	346	606	81	438	358	190
"LOC100240734"	0	0	5	0	9	0	0	2	0	0	9	0	0	0	0	0	6	0
"LOC100240735"	3	1	7	0	45	0	2	0	1	0	32	0	6	1	1	2	30	3
"LOC100268168"	5	3	0	6	9	6	2	17	0	0	5	9	3	26	1	0	4	5
"LOC100270679"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100270746"	8	14	5	17	16	30	24	26	6	3	58	21	21	16	3	14	22	22
"LOC100270804"	11	20	53	37	28	27	12	22	19	8	32	19	15	41	56	30	29	26
"LOC100271832"	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"LOC100271836"	409.34	1082.38	458.87	735.56	963.78	1668.55	1453.32	3647.99	1194.19	1355.66	1334.4	4599.57	990.82	2191.13	966.83	1447.23	1790.14	989.94
"LOC100272216"	164.71	223	17	76.64	290.41	318.5	274.84	318.07	22.16	53.73	218.39	368.59	169.01	200.89	12	128.22	208.69	323.49
"LOC100272217"	77	98	10	23	85	23	79	32	20	4	63	16	42	81	6	13	65	38
"LOC100286922"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100287010"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100287015"	9	16	14	4	26	33	6	32	8	1	37	16	7	64	8	11	37	19
"LOC100287036"	0	3	36	2	0	0	0	2	60	0	0	0	0	5	158	6	0	1
"LOC100287042"	14	13	7	8	15	46	6	39	24	5	30	19	15	63	15	13	21	28
"LOC100287072"	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
"LOC100287177"	0	0	0	3	0	1	0	0	0	0	1	2	0	0	0	5	0	3
"LOC100287225"	0	115	0	2	0	0	0	71	0	0	0	2	0	34	0	1	0	0
"LOC100287534"	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1
"LOC100287632"	0	2	21	0	0	0	0	0	13	0	0	0	0	0	12	0	0	0
"LOC100287639"	0	0	0	7	3	5	0	2	1	6	0	1	0	0	6	8	17	0
"LOC100287792"	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"LOC100287834"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100287846"	11	505	9	34	21	15	0	683	3	16	23	7	24	359	10	44	53	3
"LOC100287879"	0	0	3	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
"LOC100287944"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100288069"	19.75	39.69	30.46	18.26	69.54	90.37	96.4	113.32	41.71	11.34	97.31	100.58	53.98	66.55	26.76	34.39	69.56	89.16
"LOC100288079"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100288123"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100288142"	549.54	630.1	172.28	129.42	303.88	680.19	1472.9	1080.99	164.22	185.17	419.09	1347.24	1164.86	2391.99	188.07	273.63	549.56	747.36
"LOC100288181"	5	206	45	3	8	14	22	346	34	6	9	10	5	193	73	7	7	11
"LOC100288198"	14	51	80	53	71	41	14	60	69	27	75	37	34	78	105	38	87	36
"LOC100288255"	0	0	0	0	10.34	0	0	0	0	0	0	0	0	0	0	0	3.05	0
"LOC100288332"	6.69	12.06	3.73	16.25	3.5	52.42	19.75	164.66	138.85	28.33	49.88	65.7	9.21	335.95	108.25	54.82	38.53	7.53
"LOC100288346"	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	1
"LOC100288524"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100288637"	9	34.78	5.74	16.42	11.06	21.23	9	63.05	17.56	9.75	9.71	35.73	16	47.67	18	26.93	17	46.41
"LOC100288748"	0	0	0	0	34	15	0	0	0	0	87	9	0	0	0	0	24	32
"LOC100288778"	123.13	391.18	165.78	102.74	335.64	498.51	315.35	651.7	195.1	131.12	417.26	904.94	203.4	826.52	150.77	146.69	399.06	493.48
"LOC100288814"	2	0	0	0	3	0	2	5	0	1	1	3	2	1	0	0	0	0
"LOC100288842"	10	3	5	10	19	7	2	6	6	5	27	8	3	10	15	6	27	13
"LOC100288846"	0	31	2	7	35	21	0	25	0	6	67	7	0	47	3	4	46	17
"LOC100288911"	2	96	40	3	65	38	5	155	32	9	52	38	11	51	50	12	53	30
"LOC100288974"	1	0	0	16	0	32	15	14	11	9	43	78	26	6	3	16	15	28.48
"LOC100289019"	33	30	18	31	357	76	214	168	44	69	197	170	49	135	18	80	410	41
"LOC100289092"	0	1	104	2	1	1	0	10	56	3	0	0	0	13	137	0	2	0
"LOC100289187"	8	33	10	2	41	19	6	32	0	3	52	25	7	41	2	3	29	15
"LOC100289230"	21	72	54	65	45	92	84	91	49	33	95	66	74	296	17	103	87	51
"LOC100289341"	9	64	7	18	34	30	20	66	16	13	93	13	4	62	13	9	62	21
"LOC100289361"	25	6	27	18	38	6	10	17	11	0	46	0	12	31	14	10	35	5
"LOC100289388"	8	0	0	2	0	2	7	3	3	0	7	6	12	5	2	6	12	0
"LOC100289473"	0	14	0	0	0	4	0	32	0	0	0	8	0	7	0	0	0	1
"LOC100289495"	157	231	14	30	103	42	35	159	6	11	122	10	50	136	15	22	75	26
"LOC100289509"	9	5	0	0	1	4	2	2	0	0	0	0	3	18	0	0	6	2
"LOC100289511"	1	3	0	2	2	1	4	8	1	1	3	2	3	3	0	0	4	3
"LOC100289561"	71.17	58.02	62.08	19.52	64.19	128.81	92.44	184.98	69.95	22.25	107.84	136.57	71.32	165.66	64.69	23.89	130.97	99.66
"LOC100289650"	0	15	0	0	0	0	0	17	0	0	0	0	0	8	0	0	0	0
"LOC100289656"	0	1	0	0	1	3	0	3	0	1	0	0	0	1	0	3	0	3
"LOC100289673"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100294145"	197	556	94	184	245	565	83	475	59	113	314	382	169	1574	132	165	357	521
"LOC100294362"	8	50	3	11	62	53	3	127	4	2	84	21	0	38	8	6	49	40
"LOC100303749"	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
"LOC100335030"	2	14	4	18	21	11	51	60	22	39	28	50	12	45	1	32	27	12
"LOC100379224"	12	287	13	40	59	30	5	304	15	15	57	31	8	439	26	41	55	15
"LOC100422737"	206	0	7	0	857	0	83	0	0	0	199	0	91	0	0	0	407	1
"LOC100499183"	5	39	0	4	13	25	0	21	1	3	41	15	1	64	0	7	35	28
"LOC100499194"	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
"LOC100499227"	1	14	1	4	14	18	4	11	0	2	15	0	3	2	0	3	15	3
"LOC100499405"	142	43	12	42	30	127	67	47	8	33	55	92	206	65	23	51	25	138
"LOC100499484"	42.55	53.38	12.77	60.58	64.64	37.12	119.64	158.57	17.86	36.07	133.21	73.4	37.96	125.85	13.8	52.69	85.85	73.81
"LOC100499484-C9ORF174"	17.55	95.76	57.92	30.96	129.64	270.66	50.35	322.19	28.08	20.28	192.78	324.58	12.82	538.3	43.79	53.37	204.87	249.2
"LOC100499489"	7	273	29	26	23	80	16	327	30	13	28	38	44	311	130	37	39	69
"LOC100500773"	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0
"LOC100505474"	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0
"LOC100505478"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100505495"	33	3	42	138	60	600	7	10	19	154	96	548	78	18	42	273	73	443
"LOC100505540"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100505545"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"LOC100505549"	57	37	5	16	52	123	58	28	1	16	77	80	43	83	15	35	100	109
"LOC100505622"	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
"LOC100505624"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100505633"	0	0	6	17	0	11	0	0	6	7	0	9	0	0	8	21	0	2
"LOC100505636"	38	65	17	11	96	62	33	47	18	12	118	45	41	87	24	21	110	68
"LOC100505658"	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1
"LOC100505659"	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100505666"	10	1	2	4	2	7	14	9	1	4	9	3	5	25	0	4	1	10
"LOC100505676"	62	1	5	20	117	25	144	14	12	16	94	8	493	5	1	14	94	19
"LOC100505679"	0	4	0	1	1	0	0	11	0	5	3	1	0	4	1	6	4	2
"LOC100505695"	7	21	1	4	35	77	7	27	2	0	53	35	9	21	3	3	23	96
"LOC100505702"	3	242	2	7	15	453	0	218	1	12	14	79	11	500	4	13	13	406
"LOC100505715"	18	63	17	56	26	26	21	94	16	25	19	29	17	147	26	51	44	16
"LOC100505716"	0	1	2	0	0	0	0	4	0	0	1	0	0	2	0	0	0	0
"LOC100505718"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"LOC100505738"	77	196	282	156	214	128	50	143	106	37	222	44	84	668	332	70	266	104
"LOC100505761"	95.65	151.22	53	25.63	401.1	160.21	72.25	157.14	30	6.69	393.21	93.34	74.84	417.27	72	6.72	340.66	258.87
"LOC100505768"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100505776"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"LOC100505782"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"LOC100505795"	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
"LOC100505806"	75	14	7	63	246	117	21	29	8	69	81	123	43	19	19	58	299	124
"LOC100505812"	26	20	32	51	24	150	6	12	22	63	53	55	28	21	36	52	48	160
"LOC100505817"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
"LOC100505835"	0	36	1	0	6	0	0	17	1	0	3	0	0	641	0	0	14	0
"LOC100505841"	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100505875"	0	12	2	3	4	2	0	3	1	5	3	10	0	54	10	8	9	8
"LOC100505876"	528	1136	1558	1287	863	768	388	1461	1229	314	958	442	440	1237	1860	610	1070	701
"LOC100505912"	12	0	4	1	3	0	7	9	5	0	4	2	13	17	7	1	14	0
"LOC100505918"	12	0	0	0	0	0	23	1	0	0	0	0	25	0	0	0	0	0
"LOC100505933"	0	43	0	3	11	4	0	34	2	6	13	4	3	30	0	4	9	8
"LOC100505964"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100505978"	0	3	0	0	3	0	0	3	0	0	0	0	0	4	0	0	0	6
"LOC100505989"	0	0	2	0	0	82	0	0	0	0	1	4	2	0	4	0	0	16
"LOC100506013"	0	0	0	0	265	0	0	0	0	0	134	0	1	0	1	0	153	7
"LOC100506023"	38	133	8	46	62	52	58	237	19	20	114	43	62	210	12	36	60	74
"LOC100506025"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100506035"	2	0	4	20	21	1	0	0	2	8	24	3	0	0	14	15	17	3
"LOC100506050"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
"LOC100506054"	93	118	71	40	123	96	28	103	15	17	194	28	31	160	59	51	144	80
"LOC100506060"	33.42	32.47	26.99	19	20.09	16.56	68.31	86.06	12.01	11.34	24.23	47.03	43.01	262.88	9.32	13	29.62	15.94
"LOC100506071"	3	0	2	3	3	1	21	8	1	1	2	1	3	10	6	5	7	0
"LOC100506082"	2	0	0	0	3	4	15.53	1	0	2	2.93	0	0	1	0	0	0	0
"LOC100506083"	22	19	15	9	16	9	8	7	8	4	28	1	11	15	10	7	30	4
"LOC100506085"	45	0	0	0	237	0	9	0	0	0	6	0	32	0	0	0	215	0
"LOC100506100"	17	3	0	4	47	24	3	7	0	0	10	1	18	20	3	4	20	17
"LOC100506122"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100506123"	10	130	11	32	120	187	36.35	985.46	9	28	89	287	36	199.56	16	63	104.01	122.01
"LOC100506124"	7	37	4	9	15.39	46.93	19	80.42	11	7	14.97	18	53	101.37	10	12	35.8	20.71
"LOC100506134"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"LOC100506136"	2	5	6	16	4	2	7	5	6	5	11	8	2	18	6	12	5	8
"LOC100506172"	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"LOC100506178"	0	1	1	25	3	29	0	16	0	27	51	29	12	2	4	40	5	28
"LOC100506190"	509	175	59	118	343	919	909	248	37	192	1106	465	473	119	139	179	511	811
"LOC100506207"	18	26	6	12	39	30	28	69	7	5	56	8	20	85	18	6	63	35
"LOC100506229"	2108	0	2	0	1	2	521	0	0	0	1	7	979	0	1	3	1	3
"LOC100506233"	49	45	32	22	67	57	40	48	29	11	117	41	49	82	63	24	108	30
"LOC100506241"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
